本地菜品分类,淘点点分类ID
新记小菜,50024702
新记招牌咖喱,50024702
新疆特色菜,50024702
新派菜,50024702
新派韩餐,50024702
新派家常菜,50024702
新派私房菜,50024702
新派铁板类,50024702
新十大名菜,50024702
新添菜品,50024702
新鲜蔬菜（如购买两个以上，请备注对应蔬菜）,50024702
新增菜品,50024702
杏仁系列（热）,50024702
休闲食品,50024702
熏酱,50024702
熏酱菜,50024702
熏酱系列,50024702
寻味湘西,50024702
压锅美味,50024702
鸭菜系列,50024702
鸭肉篇,50024702
雅苑镇店菜,50024702
雅致凉盏,50024702
燕鲍翅,50024702
燕窝辽参,50024702
扬物,50024702
羊肉类,50024702
羊肉篇,50024702
羊肉馅,50024702
羊蝎子系列,50024702
羊蝎子蝎子,50024702
养身炖品系列,50024702
养生茶,50024702
养生炖菜,50024702
养生炖品,50024702
养生花茶,50024702
养生菌菇,50024702
养生素食,50024702
养生蒸菜,50024702
养生蒸菜（已包含一元打包盒费用）,50024702
养心安神,50024702
药罐炖品混沌,50024702
药膳炖品馄饨,50024702
药膳营养炖品,50024702
夜市产品（下午18:00以后售卖，其它时间不售）,50024702
夜市凉菜（下午五点开始，已含1元餐盒费）,50024702
夜市小海鲜（下午五点开始，已含1元餐盒费除了扇贝）,50024702
一品料理炸物揚げIppinRyouri/Friedthings,50024702
益气养血,50024702
意粉类,50024702
溢香锅仔类,50024702
营养健康的日式正餐,50024702
营养菌类,50024702
营养肉食,50024702
营养砂锅,50024702
营养时蔬,50024702
营养蒸菜,50024702
营养主食,50024702
幽香花果茶系列,50024702
油炸,50024702
游水海鲜,50024702
―游水海鲜―,50024702
有机商品,50024702
有机时蔬,50024702
有机蔬菜（已包含1元打包费）,50024702
有机田园时蔬,50024702
有汁有味,50024702
柚子胡椒寿司,50024702
诱惑招牌,50024702
诱惑招牌（价格已包含一元打包费）,50024702
诱惑招牌（已包含一元打包费）,50024702
渔村料理,50024702
渔都特价菜,50024702
渔都招牌菜,50024702
御茶,50024702
原盅药膳炖品,50024702
越辣越高兴,50024702
越南风味菜品,50024702
越南小吃篇,50024702
粤菜,50024702
粤菜风味,50024702
粤菜家常菜,50024702
粤式风味,50024702
云为素食招牌菜,50024702
啫啫系列,50024702
炸串,50024702
炸鸡翅类,50024702
炸鸡类,50024702
宅门凉菜,50024702
宅门六小碗,50024702
宅门热菜,50024702
宅门四大碗,50024702
宅门特色,50024702
长白山野山菌,50024702
长沙蒸菜?浏阳小钵子,50024702
招牌菜（已包含一元打包盒费用）,50024702
招牌类,50024702
招牌卤味区,50024702
招牌拿手菜,50024702
招牌篇,50024702
招牌热菜,50024702
招牌人气,50024702
招牌三杯系列,50024702
招牌石锅,50024702
招牌素菜,50024702
招牌特色,50024702
招牌炸鸡,50024702
招牌主食,50024702
镇店名菜,50024702
蒸菜类,50024702
蒸菜上什,50024702
蒸点,50024702
蒸功夫篇,50024702
蒸烧,50024702
蒸有味道,50024702
蒸蒸日上（菜价已包含1元打包餐盒费）,50024702
蒸蒸日上（含打包费一元）,50024702
蒸蒸日上（每份含一元打包费）,50024702
蒸蒸日上系列,50024702
蒸煮,50024702
正餐超值多人餐,50024702
正规热菜,50024702
知味家常,50024702
炙烧,50024702
中式金牌推荐菜,50024702
中午（10:30-14:00）,50024702
周二,50024702
周三,50024702
周四,50024702
周五,50024702
周一,50024702
猪肉篇,50024702
猪肉馅,50024702
竹筒系列,50024702
